"","site","lat","long","Annual Mean Temperature","Mean Diurnal Range (Mean of monthly (max temp - min temp))","Isothermality (BIO2/BIO7) (* 100)","Temperature Seasonality (standard deviation *100)","Max Temperature of Warmest Month","Min Temperature of Coldest Month","Temperature Annual Range (BIO5-BIO6)","Mean Temperature of Wettest Quarter","Mean Temperature of Driest Quarter","Mean Temperature of Warmest Quarter","Mean Temperature of Coldest Quarter","Annual Precipitation","Precipitation of Wettest Month","Precipitation of Driest Month","Precipitation Seasonality (Coefficient of Variation)","Precipitation of Wettest Quarter","Precipitation of Driest Quarter","Precipitation of Warmest Quarter","Precipitation of Coldest Quarter"
"1","AU10A",-17.61343944,145.5598501,16.1709995269775,3.28600001335144,0.331000000238419,0.833000004291534,20.8490009307861,10.9320001602173,9.91600036621094,18.4909992218018,13.5240001678467,18.8470001220703,12.9460000991821,67.5350036621094,14.878999710083,1.22699999809265,0.820999979972839,37.5950012207031,4.59600019454956,31.3939990997314,6.32800006866455
"2","AU10B",-17.69646656,145.5219314,18.0470008850098,5.26200008392334,0.40200001001358,1.00100004673004,24.5429992675781,11.4589996337891,13.0839996337891,20.8509998321533,14.9049997329712,21.2730007171631,14.1490001678467,58.6959991455078,13.1759996414185,0.991999983787537,0.84500002861023,33.2649993896484,3.66599988937378,28.0629997253418,5.13000011444092
"3","AU1A",-17.71670041,145.86284,22.9039993286133,6.96199989318848,0.495000004768372,0.907000005245209,29.6469993591309,15.5729999542236,14.0740003585815,25.617000579834,19.9790000915527,25.8810005187988,19.246000289917,109.49299621582,21.503999710083,2.30399990081787,0.753000020980835,57.5989990234375,8.11299991607666,46.7410011291504,10.1020002365112
"4","AU2A",-17.65673924,145.8679682,23.3050003051758,7.78700017929077,0.499000012874603,0.992999970912933,31.0060005187988,15.4029998779297,15.6029996871948,26.2509994506836,20.0930004119873,26.5960006713867,19.3369998931885,113.169998168945,22.1620006561279,2.28900003433228,0.754999995231628,59.6139984130859,8.15100002288818,48.4900016784668,10.1870002746582
"5","AU4A",-17.61036448,145.7663552,21.7759990692139,7.78000020980835,0.488000005483627,0.986000001430511,29.75,13.8030004501343,15.9469995498657,24.5669994354248,18.6100006103516,25.0179996490479,17.8460006713867,103.953002929688,21.0849990844727,2.24000000953674,0.763999998569489,55.3460006713867,7.85799980163574,44.3779983520508,10.2829999923706
"6","AU6A",-17.67597315,145.7124654,20.8619995117188,6.68599987030029,0.488000005483627,0.889999985694885,27.3689994812012,13.6619997024536,13.7080001831055,23.4130001068115,19.5370006561279,23.7250003814697,17.2800006866455,96.1309967041016,19.7339992523193,2.00399994850159,0.767000019550323,51.2480010986328,7.52500009536743,40.9269981384277,10.1149997711182
"7","AU8A",-17.60586822,145.6390648,18.7250003814697,5.43699979782104,0.419999986886978,0.933000028133392,25.0230007171631,12.0659999847412,12.9569997787476,21.3150005340576,17.5060005187988,21.7220001220703,15.0109996795654,85.6549987792969,18.0240001678467,1.68799996376038,0.788999974727631,46.4910011291504,6.32299995422363,37.5330009460449,8.71000003814697
"8","AUAA",-17.74672313,145.5651914,19.2409992218018,6.17000007629395,0.449999988079071,0.929000020027161,25.8689994812012,12.164999961853,13.7030000686646,21.818000793457,16.253999710083,22.2280006408691,15.5389995574951,67.9420013427734,14.9460000991821,1.25499999523163,0.808000028133392,37.3489990234375,4.8439998626709,30.923999786377,6.70499992370605
"9","AUAC",-17.74641775,145.5336776,18.3950004577637,5.69099998474121,0.42399999499321,0.945999979972839,24.996000289917,11.5640001296997,13.4320001602173,20.9979991912842,15.4399995803833,21.4130001068115,14.6490001678467,61.4129981994629,13.625,1.09099996089935,0.824000000953674,34.2179985046387,4.13800001144409,28.6009998321533,5.76000022888184
"10","AUAD",-17.76958824,145.5350262,19.5830001831055,7.42199993133545,0.492000013589859,0.90499997138977,26.5949993133545,11.5170001983643,15.0780000686646,22.1480007171631,16.6299991607666,22.5090007781982,15.9980001449585,61.9389991760254,13.6669998168945,1.12000000476837,0.816999971866608,34.2960014343262,4.28499984741211,28.5590000152588,5.95800018310547
"11","AUBA",-17.37460144,145.7196059,19.0790004730225,5.52500009536743,0.444000005722046,0.875,25.0610008239746,12.6049995422363,12.4549999237061,21.5799999237061,17.8379993438721,21.882999420166,15.6199998855591,93.359001159668,19.0310001373291,1.97399997711182,0.762000024318695,49.6300010681152,7.26000022888184,39.5130004882812,10.210000038147
"12","AUBB",-17.38742191,145.7461066,20.2700004577637,6.15700006484985,0.474000006914139,0.859000027179718,26.6569995880127,13.6700000762939,12.9870004653931,22.7310009002686,19.0389995574951,23.0590000152588,16.8430004119873,99.7910003662109,19.9249992370605,2.16100001335144,0.745000004768372,52.2529983520508,7.97300004959106,41.3870010375977,11.2880001068115
"13","AUBC",-17.38038636,145.7613267,20.3400001525879,6.45300006866455,0.493000000715256,0.841000020503998,26.6149997711182,13.5249996185303,13.0900001525879,22.806999206543,19.0739994049072,23.1180000305176,17,102.574996948242,20.4249992370605,2.23499989509583,0.744000017642975,53.701000213623,8.25800037384033,42.5349998474121,11.4989995956421
"14","AUCA",-17.30303142,145.4224772,17.4300003051758,4.67700004577637,0.404000014066696,0.832000017166138,23.3910007476807,11.8249998092651,11.5659999847412,19.4750003814697,14.8839998245239,20.0100002288818,14.1579999923706,41.564998626709,10.3400001525879,0.490000009536743,0.967999994754791,25.4209995269775,1.84200000762939,15.6820001602173,2.45000004768372
