FAMILY,SPECIES,Common_name,spp,population_trend,elevation.pref(1 - low / 5 up),mass,size,max_lifespan,clutch_litter_size,rep_per_year,rep_seasonality (estimated number of births per year),pot_dispersal,endemic,rainforest_specialization (1 occasionally / 6 obligate),inv.veg.num,num_veg_types,veg_speciliazation,generation_time,length(cm),wingspan(cm),weight(g),wing,tail,bill,tarsus,forage_G,forage_V,forage_S,forage_B,forage_C,diet_invert,diet_insect,diet_frug,diet_flower,diet_seed
Dicruridae,Dicrurus bracteatus,Spangled Drongo,SD,0.97,3,79.6,300,8,5,,1,8,0,3,0.235294118,13,0.42,3.2,,,,,,,,1,1,8,40,50,0,0.6,0,0.2,0
Pachycephalidae,Pachycephala simplex,Grey Whistler,GREYW,1.022,1,17.5,145,10,2,1,1,6,0,3,0.470588235,9,0.63,5.1,14.5,,17.5,74.4125,58,15.1125,18.93333333,1,1,27,43,28,0.1,0.8,0,0,0.1
Cacatuidae,Cacatua galerita,Sulphur-crested Cockatoo,SCC,1.027,3,789.5,550,57,2,1,1,7,0,3,0.117647059,15,0.67,27.2,51.5,103,895,333.7525,176.75,42.221,30.05,1,1,1,40,57,0,0.1,0.1,0.1,0.6
Acanthizidae,Acanthiza katherina,Mountain Thornbill,MTHORN,1.007,5,8.9,111,15,2,1,1,4,1,6,0.352941176,11,0.75,3.3,10.5,16.25,7,51.25,41.3,11.4,18.45,1,1,30,40,28,0.2,0.8,0,0,0
Alcedinidae,Dacelo novaeguineae,Laughing Kookaburra,LKOOK,1.024,1,352,450,15.2,3,NA,1,7,0,3,NA,17,0.33,4.6,44,73,345,214.8,154.025,67.1,27.175,70,20,9,1,0,0.1,0.5,0,0,0
Campephagidae,Lalage leucomela,Varied Triller,VT,1.05,1,32.1,195,5,1,,2,4,0,3,0.117647059,15,0.51,2.9,,,,,,,,1,1,1,37,60,0,0.5,0.4,0,0.1
Artamidae,Cracticus quoyi,Black Butcherbird,BBUT,1.056,1,156,380,6,3,,2,5,0,4,0.294117647,12,0.56,3.8,,,,,,,,10,10,25,30,25,0.1,0.7,0,0,0
Cuculidae,Cacomantis flabelliformis,Fan-tailed Cuckoo,FTCUC,1.09,2,49.9,280,6,1,,2,8,0,4,0.235294118,13,0.63,4,26,38,50,140.82,134.96,21.5,19.3,1,5,35,39,20,0.1,0.8,0,0,0
Megapodiidae,Alectura lathami,Australian Brush Turkey,ABT,1.013,3,2330,700,13,18,1,2,5,0,4,0.176470588,14,0.64,6.5,65,85,2300,277.6,240.4,24.28,88.24,88,1,5,5,1,0.2,0.2,0.2,0,0.2
Psittacidae,Cyclopsitta diophthalma,Double-eyed Fig-Parrot,DEFP,1.026,2,41,145,15,3,3,2,5,0,5,0.411764706,10,0.65,3.4,14,26.5,35,87.4,43.2,13.4,12.63333333,1,1,5,40,53,0,0.1,0.1,0.2,0.6
Artamidae,Strepera graculina,Pied Currawong,CURR,1.004,5,240,480,25,3,1,2,7,0,4,0.294117647,12,0.66,6.3,,,,,,,,0,0,1,10,89,0.1,0.2,0.2,0.1,0.1
Dicruridae,Rhipidura fuliginosa,Grey Fantail,GFAN,1.012,4,8.6,155,9,3,3,2,4,0,3,0.117647059,15,0.68,1.9,,,,,,,,5,10,25,35,25,0.1,0.8,0,0,0
Meliphagidae,Xanthotis macleayana,Macleay's Honeyeater,MACHE,1.003,2,32.8,200,8,2,1,2,4,1,5,0.176470588,14,0.68,3.4,19.5,27,32,82.51666667,69.94,25.375,24.51666667,0,10,20,40,30,0,0.6,0.2,0.2,0
Columbidae,Lopholaimus antarcticus,Topknot Pigeon,TPIG,1.07,5,500,450,20.46,1,,2,7,0,5,0.470588235,9,0.69,6.9,42.5,,525,266.575,171.55,13.925,33.1,1,1,1,15,82,0,0,1,0,0
Dicruridae,Monarcha trivirgatus,Spectacled Monarch,SMON,0.99,2,13,155,12,3,1,2,7,0,5,0.117647059,15,0.7,3.1,,,,,,,,2,25,40,20,13,0,0.7,0,0,0
Pittidae,Pitta versicolor,Noisy Pitta,NPIT,1.023,2,95,210,11,3,1.5,2,7,0,5,0.352941176,11,0.73,3.3,21,39.5,95,122.8,46.75,30.1,42.1,75,1,13,10,1,0.4,0.6,0,0,0
Psittacidae,Platycercus elegans,Crimson Rosella,CROS,1.039,5,107.5,350,15,5,1,2,5,0,4,0.470588235,9,0.73,6.6,36.5,48.5,135,156.58,166.8428571,17.05,19.36,5,5,15,40,35,0,0.2,0.1,0.1,0.6
Columbidae,Macropygia amboinensis,Brown Cuckoo-Dove,BPIG,0.99,3,237,450,15,1,,2,6,0,5,0.235294118,13,0.74,4.4,42,59,240,184.4,191.85,16.82,25.72,8,1,10,45,36,0,0,0.9,0,0
Dicruridae,Arses kaupi,Pied Monarch,PMON,0.995,3,12.6,155,4,2,1,2,5,1,5,0.294117647,12,0.74,3,,,,,,,,1,3,10,60,26,0,0.8,0,0,0
Pachycephalidae,Pachycephala pectoralis,Golden Whistler,GOLDW,0.99,4,23.2,175,18,2,2,2,6,0,4,0.235294118,13,0.75,6.6,17.5,28,25,91.575,72.2,17,21.575,1,1,27,43,28,0.1,0.7,0.1,0,0.1
Petroicidae,Heteromyias albispecularis,Grey-headed Robin,GHR,0.984,4,35.6,195,17.8,2,1,2,4,0,5,0.176470588,14,0.76,4.5,19,31,35,106.61,72.63,22.02857143,32.05,35,25,33,5,2,0,0.6,0,0,0
Dicruridae,Machaerirhynchus flaviventer,Yellow-breasted Boatbill,YBBB,1.021,2,9.7,342,12,2,1,2,5,0,5,0.352941176,11,0.76,2.8,,,,,,,,1,1,40,40,18,0,1,0,0,0
Meliphagidae,Lichenostomus frenatus,Bridled Honeyeater,BHE,0.98,4,36.4,482,5,3,,2,6,1,5,0.235294118,13,0.77,3.4,21.5,30.5,35,99.9,88.03333333,26.1,24.88333333,1,5,25,40,29,0,0.5,0,0.2,0.3
Ptilonorhynchidae,Ailuroedus melanotis,Spotted Catbird,CAT,0.98,3,166,280,20,2,1,2,6,0,5,0.235294118,13,0.77,5.2,31,,205.5,163.5,122,33.6,46.45,3,5,25,42,25,0.1,0.2,0.4,0.1,0.1
Cuculidae,Chrysococcyx lucidus,Shining Bronze-Cuckoo (Golden),SBCUC,1.05,4,23.9,180,6,1,,2,7,0,4,0.470588235,9,0.77,3.5,15.5,28.5,25,103.2666667,68.36666667,18,18.55,0,5,5,65,25,0.1,0.9,0,0,0
