TAXA,FAMILY,SPECIES,SUBSPECIES,Common_name,spp_code_raster,Spp_code_phylogeny,mass,mass_male,mass_female,size,size_male,size_female,color_dimorphism,age_1st_rep,max_lifespan,rep_characteristics,clutch_litter_size,rep_per_year,rep_seasonality,broad_diet,activity_period,shelter_type,strata_used,pot_dispersal,endemic,rainforest_specialization,references,num_occur,model_background,realized_dist,core_realized_dist,potential_dist,core_potential_dist,elev_range,temp_range,precip_range,ENFA_marginality,ENFA_specialization,num_veg_types,veg_speciliazation,map_reliability
REPT,Scincidae,Techmarscincus jigurru,.,Bartle Frere Skink,TECJIGU,Tj,5.5,5.5,5.6,72,70.4,74.3,.,.,.,.,3,.,2,4,1,1,2,2,1,6,5; 16,6,grid,42592,4179,525932.8,4179.2,1452 - 1600,15.4 - 16.2,6003 - 6717,3.78,76.23,2,0.83,3b
REPT,Scincidae,Eulamprus frerei,.,,EULFRER,Et,97.2,49,113,130,107,153.7,.,.,.,.,5,.,.,4,1,2,2,3,1,6,5; 16,4,grid,111296,7488,549561.6,7488,1437 - 1600,15.4 - 16.2,6169 - 6717,.,.,3,0.5,3bc
FROG,Microhylidae,Cophixalus concinnus,.,Beautiful Nursery-Frog,COPCONC,Cc,1.2,1.2,.,22,22,.,0,730,.,0,17,.,1,4,2,2,2,2,1,6,5; 6; 7,26,grid,163782.4,12890,1252505.6,16121.6,913 - 1279,17.3 - 19.2,2756 - 3456,2.53,76.73,5,0.69,4
REPT,Scincidae,Glaphyromorphus clandestinus,.,Mt Elliot skink,GLACLAN,cL,.,.,.,59,.,.,.,.,.,.,3,.,.,4,1,2,2,2,1,4,5; 16,3,grid,469446.4,62234,1064243.2,62272,495 - 500,21.2 - 21.2,1193 - 1196,.,.,.,.,1b
FROG,Microhylidae,Cophixalus neglectus,.,Tangerine Nursery-Frog,COPNEGL,Cn,1.8,.,.,24,21.2,24.6,0,730,.,0,22,.,1,4,2,2,2,2,1,6,5; 6; 7,62,grid,244070.4,65958,1385548.8,67027.2,765 - 1585,15.5 - 19.7,3437 - 7417,3.45,13.06,4,0.55,4
FROG,Microhylidae,Cophixalus monticola,.,Mountain Top Nursery-Frog,COPMONT,CM,0.6,0.6,.,18,18.2,.,0,730,.,0,11,.,1,4,2,2,2,2,1,6,5; 6; 7,18,grid,202534.4,81478,644435.2,112505.6,1134 - 1240,17.6 - 18.1,2469 - 2758,2.3,441.75,1,1,3bc
FROG,Microhylidae,Cophixalus exiguus,.,Bloomfield Nursery-Frog,COPEXIG,Cx,0.4,0.4,.,15,15.1,.,0,730,.,0,9,.,1,4,2,2,2,2,1,5,5; 6; 7,17,grid,917267.2,122560,2148057.6,246406.4,320 - 700,20.4 - 22.5,2226 - 2939,1.69,25.18,1,1,2abd
FROG,Microhylidae,Cophixalus mcdonaldi,.,Southern Nursery-Frog,COPMCDO,Cm,1.1,.,.,21,20,.,.,730,.,0,17,.,1,4,2,2,2,2,1,5,5; 6; 7,2,grid,162201.6,161978,18458041.6,6218310.4,465 - 780,19.7 - 21.4,1170 - 1459,.,.,.,.,3b
MAMM,Dasyuridae,Sminthopsis leucopus,.,White-footed Dunnart,SMILEUC,S2,25,.,25,101,.,.,0,336,2,5,8,1,1,3,2,2,2,3,0,6,3*; 10; 12*,2,grid,2658009.6,238054,9500761.6,317107.2,780 - 939,19 - 19.8,1854 - 2164,.,.,1,1,1b
FROG,Microhylidae,Cophixalus hosmeri,.,Pipping Nursery-Frog,COPHOSM,CH,0.3,0.2,.,13,12.7,.,0,730,.,0,7,.,1,4,2,2,5,2,1,6,5; 6; 7,88,grid,429145.6,242304,1830528,491276.8,704 - 1302,17.2 - 20.5,1429 - 3008,2,23.28,3,0.94,4
